MODEL_LDA;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_NMF;TOPIC INDEX;TOPIC NAME;AVERAGE;MODEL_LSI;TOPIC INDEX;TOPIC NAME;AVERAGE
all_all_topic;topic 5;ninos ninas;5.513.748.035.631.180;all_all_topic;topic 5;homicidio autoridad;6.699.762.624.237.890;all_all_topic;topic 5;homicidio autoridad;0.2249954017937971
all_all_topic;topic 5;alto calidad;4.855.215.001.364.150;all_all_topic;topic 5;autoridad continuan;6.160.336.889.091.640;all_all_topic;topic 5;autoridad continuan;0.2068482265543819
all_all_topic;topic 5;ser partir;47.719.844.206.472.100;all_all_topic;topic 5;continuan hacer;6.090.026.724.570.680;all_all_topic;topic 5;continuan hacer;0.20441942084399528
all_all_topic;topic 5;dar iniciar;38.370.603.144.275.000;all_all_topic;topic 5;hacer segundo;35.958.155.210.591.600;all_all_topic;topic 5;hacer segundo;0.12034078473135189
all_all_topic;topic 6;secretario mujer;7.213.647.845.169.870;all_all_topic;topic 6;nuevo caso;7.308.676.500.797.360;all_all_topic;topic 6;nuevo caso;0.25187976749829166
all_all_topic;topic 6;mujer jovenes;6.701.958.963.850.650;all_all_topic;topic 6;recuperar nuevo;6.305.021.616.970.500;all_all_topic;topic 6;recuperar nuevo;0.2169117315803209
all_all_topic;topic 6;jovenes talento;4.980.531.301.051.390;all_all_topic;topic 6;caso fallecido;6.273.799.754.906.400;all_all_topic;topic 6;caso fallecido;0.21577903101542276
all_all_topic;topic 6;concursar mujer;4.538.814.284.301.160;all_all_topic;topic 6;bueno tarde;6.232.047.410.732.610;all_all_topic;topic 6;mensaje internar;0.20604559241471443
all_all_topic;topic 6;mujer medellin;4.364.102.443.682.200;all_all_topic;topic 6;mensaje internar;5.388.647.735.622.840;all_all_topic;topic 6;bueno tarde;0.20347964012878741
all_all_topic;topic 6;hoy tener;3.792.415.490.140.400;all_all_topic;topic 6;fallecido muestra;477.558.568.018.063;all_all_topic;topic 6;fallecido muestra;0.1642899337517536
all_all_topic;topic 6;plan desarrollar;27.601.069.955.704.500;all_all_topic;topic 6;traves mensaje;4.750.421.806.779.460;all_all_topic;topic 6;traves mensaje;0.16361368737525914
all_all_topic;topic 6;derecho mujer;26.979.604.305.744.500;all_all_topic;topic 6;salud conmemorar;4.378.547.603.972.890;all_all_topic;topic 6;salud conmemorar;0.1500535808285118
all_all_topic;topic 6;gestor social;26.480.131.451.588.300;all_all_topic;topic 6;muestra prueba;35.894.925.047.109.300;all_all_topic;topic 6;muestra prueba;0.12348589791798475
all_all_topic;topic 6;fin semana;25.854.844.137.590.400;all_all_topic;topic 6;prueba covid-;3.559.807.921.987.650;all_all_topic;topic 6;prueba covid-;0.12253653796060818
all_all_topic;topic 7;momento aeropuerto;30.669.436.109.031.000;all_all_topic;topic 7;mabel lopez;20.008.515.329.121.700;all_all_topic;topic 7;mabel lopez;0.7145876792755763
all_all_topic;topic 7;aeropuerto operar;28.590.842.838.391.500;all_all_topic;topic 7;luis perez;10.632.043.495.241.400;all_all_topic;topic 7;luis perez;0.37492927687379496
all_all_topic;topic 7;operar normalidad;283.710.742.551.931;all_all_topic;topic 7;gerente mabel;3.189.287.610.465.010;all_all_topic;topic 7;fondo sapiencia;0.13352006373820588
all_all_topic;topic 7;operaci aereas;24.201.028.301.030.100;all_all_topic;topic 7;lopez luis;16.307.081.375.124.400;all_all_topic;topic 7;gerente mabel;0.11381222520413019
all_all_topic;topic 7;aereas normalidad;14.666.628.756.297.500;all_all_topic;topic 7;gobernador luis;16.076.517.696.006.700;all_all_topic;topic 7;lopez luis;0.05816252655846119
all_all_topic;topic 7;condicionar meteorologicas;10.888.759.136.498.500;all_all_topic;topic 7;canal regional;13.498.460.591.160.000;all_all_topic;topic 7;gobernador luis;0.057536313825204084
all_all_topic;topic 7;normalidad telemedellin;9.087.992.199.587.910;all_all_topic;topic 7;felicitaci mabel;1.309.783.722.423.240;all_all_topic;topic 7;canal regional;0.04842645235818601
all_all_topic;topic 7;cerrar condicionar;7.699.602.012.275.950;all_all_topic;topic 7;feriar flor;11.664.749.250.433.300;all_all_topic;topic 7;felicitaci mabel;0.04674243661521027
all_all_topic;topic 7;encontrar cerrar;7.097.419.030.211.510;all_all_topic;topic 7;lopez gerente;10.524.168.501.691.300;all_all_topic;topic 7;plan desarrollar;0.04158619796010655
all_all_topic;topic 7;aeropuerto encontrar;7.007.662.373.683.080;all_all_topic;topic 7;lopez felicitaci;0.869063408932044;all_all_topic;topic 7;feriar flor;0.041389872899964535
all_all_topic;topic 8;liderar gremial;12.637.333.687.890.600;all_all_topic;topic 8;fondo sapiencia;11.149.161.885.758.700;all_all_topic;topic 8;fondo sapiencia;0.41842914682933585
all_all_topic;topic 8;mesar directivo;7.989.794.841.965.420;all_all_topic;topic 8;presupuestar participativo;33.847.687.486.224.900;all_all_topic;topic 8;presupuestar participativo;0.12548116109160468
all_all_topic;topic 8;ninos ninas;6.055.749.126.164.380;all_all_topic;topic 8;sapiencia recurso;3.317.986.726.858.910;all_all_topic;topic 8;sapiencia recurso;0.12455967791901472
all_all_topic;topic 8;conocer avanzar;538.805.472.563.728;all_all_topic;topic 8;recurso presupuestar;3.216.283.122.484.070;all_all_topic;topic 8;recurso presupuestar;0.12015701259984071
all_all_topic;topic 8;encontrar liderar;4.979.993.662.844.020;all_all_topic;topic 8;beneficiario fondo;30.665.921.218.926.400;all_all_topic;topic 8;beneficiario fondo;0.11522295793409462
all_all_topic;topic 8;avanzar tecnicos;4.936.405.600.110.730;all_all_topic;topic 8;mensaje internar;3.042.998.442.059.930;all_all_topic;topic 8;educacion superior;0.10708114800543468
all_all_topic;topic 8;espaciar publicar;4.681.657.988.579.220;all_all_topic;topic 8;educacion superior;29.136.256.184.431.200;all_all_topic;topic 8;sapiencia universidad;0.09634199520923725
all_all_topic;topic 8;hacer partir;43.719.688.236.286.100;all_all_topic;topic 8;sapiencia universidad;2.568.293.533.460.550;all_all_topic;topic 8;tener dudar;0.07221361573514663
all_all_topic;topic 8;plan desarrollar;4.366.649.011.527.120;all_all_topic;topic 8;tener dudar;19.994.596.967.024.800;all_all_topic;topic 8;cumplir requisito;0.06861590958354342
all_all_topic;topic 8;servicio publicos;39.484.600.400.424.600;all_all_topic;topic 8;cumplir requisito;18.575.143.836.031.700;all_all_topic;topic 8;premio investigar;0.0675480867871777
all_all_topic;topic 9;plan desarrollar;33.933.778.022.122.400;all_all_topic;topic 9;unidad hospitalario;5.104.757.459.805.770;all_all_topic;topic 9;unidad hospitalario;0.2414162522258842
all_all_topic;topic 9;espaciar publicar;17.282.601.870.287.900;all_all_topic;topic 9;plan desarrollar;4.008.318.629.717.430;all_all_topic;topic 9;unidad permanente;0.13300491565267653
all_all_topic;topic 9;unidad hospitalario;16.708.733.805.439.500;all_all_topic;topic 9;hacer partir;27.804.866.549.734.500;all_all_topic;topic 9;plan desarrollar;0.12398002295476833
all_all_topic;topic 9;hoy plenariacm;14.409.286.124.255.200;all_all_topic;topic 9;salud mental;26.055.594.602.577.000;all_all_topic;topic 9;tener citar;0.10978270732932528
all_all_topic;topic 9;unidad permanente;13.784.735.882.744.800;all_all_topic;topic 9;abusar sexual;23.709.189.827.136.000;all_all_topic;topic 9;abusar sexual;0.10388751056826936
all_all_topic;topic 9;calidad vida;13.629.242.662.074.000;all_all_topic;topic 9;ninos ninas;2.234.828.295.479.800;all_all_topic;topic 9;salud mental;0.10203983853663551
all_all_topic;topic 9;hacer partir;1.355.895.708.013.500;all_all_topic;topic 9;servicio salud;2.220.786.358.171.200;all_all_topic;topic 9;voz raza;0.10022779599430502
all_all_topic;topic 9;parque arvi;1.310.646.717.967.680;all_all_topic;topic 9;espaciar publicar;2.103.088.006.036.900;all_all_topic;topic 9;derecho cercar;0.10013643273867005
all_all_topic;topic 9;bueno noticiar;12.814.651.194.491.200;all_all_topic;topic 9;fin semana;2.045.601.577.428.040;all_all_topic;topic 9;servicio salud;0.09873721771743613
all_all_topic;topic 9;fin semana;12.470.417.217.045.300;all_all_topic;topic 9;unidad permanente;2.040.194.433.608.550;all_all_topic;topic 9;citar voz;0.09868518009028354
