#;feature;luisfer81567047;gabrielmoreno10;AlcaldiadeMed;QuinteroCalle;MedellinFuturo;estebanrestre;camivillamizar;JuanJoseAuxT;JuanDav60925142;monpabon;sanchezc_v;diamaov;oscarhurtadop;fonvalmed;Karen_delgadom;EducacionMed;soyalejangu;Juanparal;LinaGaviriaH;IUColmayor;ITM_Medellin;IUPascualBravo;bppiloto;CasadelaMemoria;casanes2;SapienciaMed;Metroparquesofi;FFerrocarrilAnt;ParqueExplora;PlanetarioMed;Exploratoriomed;FeriasCTI;AndreeSecSalud;Ale_Gomezl;julymartilo;Metrosalud;saviasaludeps;hospinfantilCM;seguridadmed;acevedossa;NataliaUrregoA;Dmonvel;sttmed;CadenaGaitan;Isvimed;1jorgetorresram;AeropuertoEOH;EDUMedellin;WilderWiler;metrodemedellin;Metroplus_SA;TerminalesMed;ParqueArvi;jbotanicomed;paolavargasdllo;plazamayormed;Ruta_N;juanandresvas;TelemedRadio;mabel_lopez5;infocreame;FNGSA;BureauMedellin;jorgeMejiaMa;AlejandroAriasG;AnaPiedadJaram1;JuventudMed;alejandromattah;Buen_Comienzo;GerenteEPM;AgenciaAPPMed;RodrigoForonda5;acimedellin;Emvarias;PatrimonioMDE;EnCicla;renehoyos;ConcejoMedellin;personeriamed;ContraloriaMed
69;proyectar acordar;0.0;0.0;0.019206258403470913;0.042969262254380435;0.0;0.14939782938932328;0.0;0.0575006253310565;0.0;0.0;0.13227410456466096;0.042835795017670014;0.21273581602895775;0.045815943211747506;0.04217666329053184;0.018391080482003504;0.03111141092803761;0.07737324644578183;0.046137778577528155;0.0;0.0;0.0;0.0;0.0;0.0;0.006777998224684282;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016932174996733836;0.0071526417791580015;0.015558579644107229;0.0;0.0;0.004005666530022933;0.007667417436896084;0.09359544481736562;0.0;0.0;0.040538941959983345;0.0404738663544986;0.14604408561423066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010815497098275385;0.015268524033710337;0.0;0.0006996976197701861;0.006891761401959867;0.0;0.026430126437342754;0.0;0.0;0.0;0.0;0.04960754349328847;0.028023760706658074;0.0;0.0;0.01775571430885308;0.0;0.10236237397621549;0.0;0.0;0.0;0.18392269105691403;0.42066855184106783;0.0;0.35134536312640985
70;querer conocer;0.0;0.0;0.07166288570396377;0.03206560346145114;0.0;0.008575954251704135;0.0;0.02145478132409834;0.0;0.0;0.0;0.0;0.0;0.0020111720772466326;0.03147413033053567;0.027448509144624184;0.04643347889190312;0.04619152778314504;0.0;0.03044753544730824;0.061681478451143884;0.11264798407340525;0.1464691181110806;0.07693201166808537;0.06078455671093386;0.020232193147601878;0.0;0.0735839582320074;0.10261717337077433;0.12929050254711327;0.07570683628548956;0.12019387371716177;0.0;0.018953330149267887;0.01067524844315463;0.003870171521973547;0.008916121303702203;0.0;0.0007473023029236922;0.001907257686121603;0.05238385991266046;0.01849892767945308;0.008082897890922326;0.0;0.06795770935353534;0.0;0.0;0.0330151979144198;0.0;0.013072926439875525;0.08069778881953146;0.025099556478210886;0.03354246178754823;0.13860033089451693;0.0;0.07263911007473195;0.11394061974072668;0.0;0.0026107297683688737;0.0;0.14995856458954374;0.335297011358874;0.08653266651276241;0.0;0.024832902099900977;0.08696530901076062;0.037019388625652225;0.0;0.0030512265807073513;0.0;0.06625057824264316;0.0;0.1336779935680439;0.09520627997757022;0.15870591888956379;0.12159452566831322;0.03431285394242933;0.026653743308995437;0.005762344771090357;0.07491136355189416
71;radiar sonar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43595139403840194;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
72;reactivacion economica;0.0;0.0;0.2584828256750849;0.09035804966669439;0.0;0.16433073551212826;0.12396448527923655;0.29019689444632774;0.0;0.424750770576986;0.1748390418251729;0.036030955065553996;0.17894087468229433;0.006800767183287414;0.14190612866732438;0.0;0.04361515288447043;0.09111456319976331;0.0776167794278431;0.0228795936928387;0.0;0.0;0.0;0.0;0.0;0.008551881062342705;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028484702395169793;0.012032764394289243;0.0;0.0;0.0;0.0126349928860297;0.02042304061922223;0.11809048712054716;0.08340536128940021;0.0016565014679853325;0.03409897716530607;0.0;0.10236975649659386;0.0;0.062022615531379624;0.17538614107502004;0.0036838356651026126;0.0;0.0;0.0;0.0;0.21110538883091434;0.045486804878821493;0.10274388569634581;0.0;0.0011770890904214603;0.003478166967053185;0.09859967665344217;0.28900911187533;0.14630486504864626;0.038943681570708016;0.5038339212565112;0.0;0.020863476092621562;0.047143883398121506;0.001719617616149588;0.0;0.0746753205065059;0.18940487521082067;0.47355669542037776;0.09658185172311323;0.0;0.0;0.11602872459132253;0.06342445214112274;0.0;0.0
73;realizar tramitar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021324623436032426;0.0;0.0;0.0;0.0;0.0;0.35181890858495574;0.0;0.027281989620288157;0.0;0.0;0.0;0.0;0.0;0.027991148044181926;0.0;0.0;0.0;0.020109452230728693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03190331027761875;0.0;0.0;0.0;0.0;0.0;0.020449830711297662;0.3608215389580781;0.03002019383409467;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03920739925161463;0.0;0.0;0.0;0.0;0.0;0.0;0.0030327159652060232;0.0;0.0;0.0;0.0;0.07570296014107639;0.0;0.037186725708438395;0.3410469108422092;0.0;0.0;0.0
74;redar social;0.0;0.959100052357483;0.15724913767097637;0.0;0.0;0.03136354794021428;0.11312149092154566;0.039231672817719394;0.0;0.0;0.03867784813017468;0.11690446045375187;0.07257296666781544;0.0036775786116286084;0.0;0.006273956570735;0.014151181688884603;0.05279041526816574;0.0944370025509448;0.01855853217876149;0.0;0.012874079173728273;0.07652278306813409;0.017584492387608487;0.055574554809723405;0.01387352957531797;0.0;0.26910754580829227;0.046910794735524945;0.0;0.023072602375124224;0.192310554229973;0.0;0.017328791097653933;0.01464036784539372;0.003538449089853453;0.006521517949885569;0.03710329873972401;0.00204974725689468;0.0043594542162123315;0.09578780701504586;0.050740009923833825;0.0010077397858487894;0.11063604948251515;0.020710959315822133;0.09964332997759459;0.0011463282888640647;0.0452780695952352;0.056905020019972594;0.0;0.1696962360182187;0.007649402812579678;0.06133490090024259;0.03620586779995898;0.06043617430179975;0.04427534911951928;0.05208723695188056;0.0;0.0014321744119538224;0.015987236859939205;0.06855261367292294;0.018032813851169553;0.03955786369237428;0.12635496544077915;0.04540881939465376;0.0;0.11846226307019218;0.17208110422317088;0.0;0.0;0.01211441389374928;0.0;0.03492003036105185;0.026113770887589285;0.1865607727330645;0.059862031231899225;0.03137181029665317;0.0;0.02634219632763068;0.10273577463230046
75;reducir sentir;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7694418698900443;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
76;responsable homicidio;0.0;0.0;0.0;0.08548364621053875;0.0;0.022862624121569083;0.0;0.057196270715395944;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3346949988444057;0.32032699813466736;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
77;rotacion picoycedula;0.0;0.0;0.0;0.0;0.0;0.015890844144893796;0.0;0.019877355695797787;0.0;0.0;0.02612900205755138;0.0;0.0;0.048445907495669384;0.058320098848385495;0.0;0.02867969186557582;0.0;0.021265786949141365;0.0;0.0;0.026091434049325398;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1170654625669923;0.0;0.0;0.0;0.0;0.05954280483345594;0.038874657115988365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5607765658685329;0.0;0.0;0.0;0.0;0.0;0.0;0.122483824645634;0.5533427728569386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04601421198772345;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.34969066880401684;0.0054875717794461085;0.0;0.0
78;salud mental;0.0;0.059307718451226656;0.23175033045985188;0.0;0.0;0.04266730072482812;0.0;0.04002838546620744;0.0;0.0;0.0;0.03975951461041822;0.0;0.005003016650433256;0.0;0.11949219174682624;0.04812854128320241;0.08617996387126844;0.0428243640788916;0.0;0.0;0.08757016404964768;0.02602559987547247;0.0;0.0;0.012582463770431122;0.0;0.0;0.12763587780545288;0.04020308258950931;0.0;0.0;0.0;0.03143235973050538;0.039833821018735796;0.197363478770535;0.046577693710637406;0.17666501343535293;0.0009294992474121993;0.008302906359680583;0.08687382723139792;0.0;0.0;0.056441417317595256;0.0;0.09037055657694536;0.0;0.01368816943047815;0.0;0.024390280693233967;0.0;0.0;0.0;0.024627421814154393;0.0;0.020077550316058367;0.028344010150735306;0.0;0.0012988967626094859;0.0012793650172231317;0.0;0.0;0.0;0.04297365622357068;0.06177463584044574;0.0;0.32231461903445974;0.44219067458711786;0.01328297102490547;0.0;0.0;0.0;0.02375278842137507;0.0;0.0;0.0;0.0;0.09208914313637306;0.028668960912355306;0.0
79;salvar vida;1.0;0.0;0.05884557561871856;0.164565562312604;0.0;0.09682882837649161;0.08466436569024995;0.1431419684423035;0.0;0.09669773426461828;0.1157918076053701;0.09843264218675304;0.16294898889155196;0.008257313209711147;0.2261420449273696;0.0;0.0714911064109191;0.13038407694611145;0.09424025860490617;0.020834852099146973;0.0;0.057812661672521824;0.021477195126243017;0.019741340242073416;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0324237926522564;0.005478700143555596;0.03972461977991292;0.01464284574221814;0.1666170005658724;0.008437592402125552;0.00978833702502954;0.10753678000160131;0.09493931525128455;0.0007542302444447863;0.07762890760967835;0.023251287872347304;0.01864420115729421;0.0012869326154405435;0.039535772668118356;0.03194238812625343;0.0;0.0;0.06011354901251282;0.01721450242485815;0.0;0.011308174778115241;0.033137331539576625;0.14034254877819688;0.0;0.0005359465171386918;0.006334648709900286;0.0;0.02024465113413079;0.0;0.053194946768827925;0.15293548438607577;0.0;0.07599565700328254;0.10732662598448278;0.0;0.0;0.05440128978152012;0.08623891260599621;0.09800797563921226;0.029316788038688618;0.0;0.0;0.14087903532829604;0.006079603177215916;0.01774393877165466;0.0
80;secretario mujer;0.0;0.0;0.07453134164590887;0.06252955478255319;0.0;0.10034127725167136;0.0;0.05578388384366278;0.0;0.0;0.07332852709565457;0.0;0.07739413690560738;0.002614591774485473;0.12275230429406575;0.017841995481976562;0.05030424519820386;0.07506318700863567;0.059680382399444176;0.013194275556118013;0.04811280586708945;0.05491732207480652;0.0;0.0;0.07902198115724139;0.013151267955137326;0.0;0.0;0.0667028993818101;0.0;0.0;0.0;0.0;0.04927994145108283;0.6939092155722618;0.005031353975962676;0.0;0.0;0.0019430365769131837;0.0012397497743665755;0.09080105463075563;0.0721476964025615;0.00047763822035339505;0.058992913983649045;0.009816369154353494;0.0708418931190126;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014322460591434185;0.010492589086953856;0.0;0.0;0.0027152296533975956;0.0;0.0;0.0;0.0;0.0449163278607055;0.0;0.0;0.09625291648800256;0.21749665547076816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007700170772541417;0.00749124324601223;0.0
81;secretario salud;0.0;0.0;0.1257778325481187;0.1582857298097511;0.0;0.11288949578451461;0.07540145186940193;0.25888483390439426;0.0;0.05167096803896678;0.1701534766816797;0.07013070088425404;0.06530451872292303;0.002206170445416729;0.0;0.11291193764084355;0.07640333462871249;0.21534812184950813;0.07553670353380476;0.0;0.0;0.030892514868587823;0.0;0.0;0.0666780799467983;0.0;0.0;0.16143696080991873;0.1125666856874546;0.0;0.0;0.0;1.0;0.04851233119801818;0.005855147324094573;0.06792662350134218;0.007824485445286362;0.0;0.01475566060049209;0.021967898052312435;0.11492574391185666;0.08117015541342175;0.0008060541883655788;0.08296287052647684;0.0;0.039850527189161315;0.0018338121238362468;0.0060360452421765335;0.0;0.0;0.0;0.018355432410705082;0.03679465755288234;0.0;0.012085171219008385;0.04426779003405817;0.0;0.0;0.001718315877922389;0.0033849545029836893;0.0;0.0;0.0;0.1137000536870851;0.05448128015155426;0.0;0.06091304818018418;0.27528275998517227;0.008367665279345717;0.0;0.0;0.0;0.04189688219961158;0.04177490001594294;0.0;0.0;0.056459617594724565;0.019492017089037503;0.06321047748278874;0.020543646931533783
82;secretario seguridad;0.0;0.0;0.0;0.10138159386892791;0.0;0.05422906897916383;0.021732494274010885;0.22045865347347107;0.6145647985995567;0.0;0.11145973760234257;0.0;0.0;0.0;0.04975576870686575;0.0;0.012234033748446513;0.0;0.018142897520830484;0.0;0.019501789838718038;0.0;0.0;0.03040442530510108;0.09609105360170617;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016875929115366613;0.0;0.0;0.0;0.21382801134674345;0.22914620415825465;0.05520722765893245;0.029243965036610402;0.0017424301123079003;0.0;0.0;0.028714677651525727;0.0;0.0;0.0;0.0;0.0;0.013226181985645565;0.0;0.0;0.0;0.012759031418978379;0.0;0.0;0.0;0.0;0.0;0.0;0.03419871570224318;0.0;0.03925700631684093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09030390856727062;0.0;0.0;0.0;0.0046817196406038495;0.0;0.0
83;seguir trabajar;0.0;0.0;0.014332577140792753;0.08016400865362786;0.0;0.06860763401363308;0.10997902353275515;0.05363695331024586;0.0;0.0;0.09870890870965685;0.06393200836733406;0.13890893666367757;0.0020111720772466326;0.03147413033053567;0.013724254572312092;0.038694565743252606;0.10393093751207634;0.057383488988823034;0.05074589241218041;0.061681478451143884;0.014080998009175656;0.0;0.07693201166808537;0.18235367013280157;0.007587072430350704;0.0;0.0;0.025654293342693583;0.0;0.0;0.030048468429290442;0.0;0.012635553432845259;0.026688121107886573;0.030961372175788374;0.003566448521480881;0.0;0.0007473023029236922;0.0066754019014256104;0.06984514655021394;0.11099356607671848;0.0011022133487621354;0.0907559662025446;0.03020342637934904;0.16347703537958955;0.0;0.0;0.0;0.0032682316099688813;0.008069778881953146;0.008366518826070295;0.08385615446887057;0.0;0.011016990529860542;0.024213036691577317;0.07975843381850867;0.0;0.0;0.0020571774023758235;0.02499309409825729;0.25640359692149195;0.10816583314095303;0.05182518278040718;0.049665804199801954;0.0;0.0;0.08365038180069635;0.0030512265807073513;0.0;0.0;0.0;0.01909685622400627;0.06664439598429915;0.04534454825416108;0.00935342505140871;0.0;0.017769162205996957;0.011524689542180715;0.20600624976770895
84;seguridad convivencia;0.0;0.0;0.0;0.025810707702838068;0.0;0.02761232280936209;0.0;0.20723630175880084;0.0;0.0;0.13620719571365794;0.05146107363326011;0.0;0.0;0.0;0.0;0.012458635026632315;0.0;0.018475978012266105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010170791786620623;0.008592874840253258;0.0;0.0;0.0;0.22015973866317706;0.23488825396900756;0.028110381023028416;0.05956169397832326;0.001774418909986628;0.0;0.0;0.02924184256179458;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025986541971501607;0.0;0.0;0.0;0.0;0.0;0.0;0.03482656056657601;0.055621164113308974;0.0;0.0;0.0;0.0;0.0;0.0;0.021330948126026383;0.0;0.030743433513329133;0.10728873553562589;0.0;0.015057787408401253;0.0;0.014303010151506099;0.03710647685103251;0.0
85;sentir norte;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3048242151345573;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.02659557215769384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
