word;label;value;num
acosar;Enojo;0.465;1
acribillar;Enojo;0.666;1
acrimonia;Enojo;0.363;1
acritud;Enojo;0.33;1
acuciar;Alegria;0.264;1
acucioso;Alegria;0.232;1
acuitadamente;Tristeza;0.463;1
acuitar;Tristeza;0.562;1
adecuar;Alegria;0.331;1
adicto;Alegria;0.429;1
adivinanza;Sorpresa;0.498;1
admiracion;Sorpresa;0.664;1
admitir;Alegria;0.53;1
adolecer;Tristeza;0.563;1
adorable;Alegria;0.898;1
adorablemente;Alegria;0.865;1
adoración;Alegria;0.765;1
adorador;Alegria;0.664;1
adorar;Alegria;0.764;1
adversario;Enojo;0.363;1
adversión;Repulsion;0.497;1
adverso;Tristeza;0.464;1
afable;Alegria;0.696;1
afán;Alegria;0.764;1
afectivo;Alegria;0.864;1
afecto;Alegria;0.899;1
afectuosamente;Alegria;0.966;1
afectuosidad;Alegria;0.932;1
afectuoso;Alegria;0.898;1
aferrar;Enojo;0.265;1
afervorizar;Alegria;0.731;1
afición;Alegria;0.729;1
aficionar;Alegria;0.595;1
aflicción;Tristeza;0.764;1
afligidamente;Tristeza;0.83;1
afligido;Tristeza;0.83;1
afligir;Tristeza;0.796;1
afortunadamente;Alegria;0.831;1
afortunado;Alegria;0.932;1
afrenta;Enojo;0.53;1
agarrar;Enojo;0.231;1
agenciar;Sorpresa;0.198;1
agobiado;Tristeza;0.764;1
agobiante;Tristeza;0.73;1
agobiantemente;Tristeza;0.73;1
agobio;Enojo;0.231;1
agradable;Alegria;0.899;1
agradar;Alegria;0.798;1
agradecer;Alegria;0.763;1
agradecido;Alegria;0.764;1
agravamiento;Enojo;0.397;1
agravante;Enojo;0.463;1
agravar;Enojo;0.43;1
agravio;Enojo;0.43;1
agresividad;Enojo;0.831;1
agresivo;Enojo;0.865;1
agresor;Enojo;0.83;1
agriado;Enojo;0.497;1
aguantar;Tristeza;0.364;1
agudeza;Alegria;0.331;1
agüero;Miedo;0.297;1
aguzar;Alegria;0.199;1
aherrojar;Tristeza;0.198;1
ahínco;Alegria;0.73;1
ahíto;Alegria;0.564;1
ahogo;Tristeza;0.463;1
ahuyentar;Miedo;0.696;1
airadamente;Enojo;0.596;1
airamiento;Enojo;0.563;1
airar;Enojo;0.663;1
airoso;Alegria;0.565;1
alabar;Alegria;0.53;1
alarma;Miedo;0.596;1
alarmado;Miedo;0.695;1
alarmante;Miedo;0.595;1
alarmar;Miedo;0.63;1
alborozar;Alegria;0.899;1
alborozo;Alegria;0.899;1
alcanzar;Sorpresa;0.265;1
alegrar;Alegria;0.966;1
alegre;Alegria;1;1
alegremente;Alegria;1;1
alegría;Alegria;1;1
alelamiento;Sorpresa;0.198;1
alelar;Sorpresa;0.132;1
alentar;Alegria;0.73;1
alergia;Repulsion;0.397;1
alertar;Miedo;0.53;1
alevosía;Enojo;0.396;1
alicaído;Tristeza;0.464;1
aliquebrado;Tristeza;0.497;1
aliviar;Alegria;0.763;1
alivio;Alegria;0.763;1
allegar;Alegria;0.364;1
altivez;Enojo;0.264;1
altruismo;Alegria;0.529;1
alzar;Alegria;0.298;1
amabilidad;Alegria;0.728;1
amable;Alegria;0.762;1
amablemente;Alegria;0.762;1
amante;Alegria;0.731;1
amar;Alegria;0.899;1
